"","Location_skey","ChargePoint_skey","def_ampere"
"1",-1,1003,16
"2",-1,1038,13
"3",-1,1308,13
"4",-1,2763,13
"5",-1,3323,16
"6",-1,3371,16
"7",-1,3456,13
"8",-1,3877,13
"9",-1,3898,13
"10",-1,4013,13
"11",-1,4054,13
"12",-1,4120,16
"13",-1,4121,13
"14",-1,4136,13
"15",-1,4154,13
"16",-1,4170,13
"17",-1,4203,13
"18",-1,4989,16
"19",-1,4992,16
"20",-1,4993,13
"21",-1,4995,13
"22",-1,5002,13
"23",-1,5007,16
"24",-1,5010,16
"25",-1,5011,16
"26",-1,5568,16
"27",-1,5755,16
"28",-1,5794,13
"29",-1,14409,13
"30",-1,14415,13
"31",-1,14421,13
"32",-1,14442,13
"33",-1,14444,16
"34",-1,14445,13
"35",-1,14446,13
"36",-1,14449,16
"37",-1,14450,13
"38",-1,14451,13
"39",-1,14452,13
"40",-1,14453,16
"41",3,4664,16
"42",4,25,16
"43",5,1595,16
"44",7,3038,16
"45",8,3093,16
"46",9,2304,16
"47",10,3478,16
"48",10,3514,16
"49",12,4228,16
"50",13,5077,16
"51",13,5949,16
"52",14,3506,16
"53",15,4349,16
"54",15,6219,16
"55",16,4641,20
"56",17,4025,16
"57",18,3068,16
"58",19,758,16
"59",19,888,16
"60",19,5113,13
"61",20,2738,16
"62",21,416,16
"63",21,1186,16
"64",22,2960,16
"65",23,4864,16
"66",24,3002,16
"67",27,5288,16
"68",28,1401,16
"69",28,6239,16
"70",29,3438,20
"71",30,2635,16
"72",31,22,16
"73",32,4794,16
"74",33,3242,16
"75",34,257,16
"76",35,2806,16
"77",35,14157,16
"78",36,178,16
"79",36,5403,16
"80",37,3181,16
"81",39,2657,16
"82",40,3481,16
"83",41,6103,16
"84",44,2971,16
"85",45,2306,16
"86",46,3349,20
"87",47,3463,16
"88",48,2658,16
"89",48,14159,16
"90",49,1545,16
"91",50,2787,16
"92",51,5096,13
"93",52,2467,16
"94",53,5065,16
"95",53,5907,16
"96",54,2966,16
"97",55,424,16
"98",56,3287,20
"99",57,1999,16
"100",58,1640,16
"101",59,1965,16
"102",59,2019,16
"103",60,3777,16
"104",61,4255,32
"105",61,4256,16
"106",62,4713,20
"107",63,2915,16
"108",64,1786,20
"109",65,5371,16
"110",65,5930,16
"111",66,3927,20
